club,N,Flag
Ulster,3,Ireland
Leinster,14,Ireland
Munster,12,Ireland
Connacht,2,Ireland
Suntory Sungoliath,5,Japan
Panasonic Wild Knights,6,Japan
Honda Heat,2,Japan
Toyota Verblitz,3,Japan
Kobelco Steelers,3,Japan
Yamaha Júbilo,1,Japan
Munakata Sanix Blues,1,Japan
Kintetsu Liners,1,Japan
NTT DoCoMo Red Hurricanes,1,Japan
Toshiba Brave Lupus,2,Japan
Kubota Spears,2,Japan
NTT Communications Shining Arcs,1,Japan
Canon Eagles,2,Japan
Coca-Cola Red Sparks,1,Japan
none,46,
Aana Chiefs,1,Samoa
Glasgow Warriors,12,Scotland
Edinburgh,10,Scotland
Slava Moscow,2,Russia
VVA-Podmoskovye,7,Russia
Enisey-STM,5,Russia
Krasny Yar,10,Russia
Kuban,3,Russia
Metallurg,1,Russia
Lokomotiv Penza,1,Russia
Toronto Arrows,7,Canada
Calgary Hornets,2,Canada
Calgary Canucks,1,Canada
Markham Irish,1,Canada
Zebre,10,Italy
Benetton,15,Italy
Welwitschias,20,Namibia
Hurricanes / Wellington,9,New Zealand
Highlanders / Otago,3,New Zealand
Crusaders / Canterbury,17,New Zealand
Chiefs / Counties Manukau,3,New Zealand
Chiefs / Tasman,1,New Zealand
Chiefs / Auckland,1,New Zealand
Blues / Auckland,6,New Zealand
Crusaders / Taranaki,1,New Zealand
Chiefs / Hawke's Bay,2,New Zealand
Chiefs / Bay of Plenty,3,New Zealand
Chiefs / Waikato,4,New Zealand
Crusaders / Counties Manukau,1,New Zealand
Highlanders / Manawatu,2,New Zealand
Blues / Taranaki,1,New Zealand
Crusaders / Northland,1,New Zealand
Blues / Counties Manukau,1,New Zealand
Crusaders / Waikato,1,New Zealand
Hurricanes / Taranaki,2,New Zealand
Bulls,7,South Africa
Lions,3,South Africa
Stormers,7,South Africa
Sharks / Sharks,4,South Africa
Bulls / Blue Bulls,1,South Africa
Stormers / Western Province,1,South Africa
Jaguares,26,Argentina
Hindú,1,Argentina
Pucará,1,Argentina
Exeter Chiefs,6,England
Saracens,16,England
Leicester Tigers,9,England
Harlequins,7,England
Wasps,3,England
Northampton Saints,6,England
Sale Sharks,2,England
Bath,11,England
Gloucester,3,England
Racing 92,5,France
Montpellier,5,France
Toulouse,13,France
Lyon,1,France
Bordeaux Bègles,2,France
Toulon,7,France
Clermont Auvergne,7,France
Stade Français,5,France
La Rochelle,2,France
Rugby United New York,3,United States
Seattle Seawolves,1,United States
Glendale Raptors,3,United States
USA Sevens,2,United States
New Orleans Gold,1,United States
San Diego Legion,2,United States
Houston Sabercats,1,United States
Brumbies,8,Australia
Waratahs,8,Australia
Melbourne Rebels,8,Australia
Queensland Reds,6,Australia
Fijian Latui,4,Fiji
Aia Kutaisi,2,Georgia
Batumi RC,3,Georgia
RC Jiki Gori,2,Georgia
Locomotive,1,Georgia
Lelo Saracens,1,Georgia
Los Cuervos,2,Uruguay
Champagnat,1,Argentina
MVCC,1,Uruguay
Trébol de Paysandú,2,Uruguay
Old Christians,4,Uruguay
Old Boys,3,Uruguay
Carrasco Polo,3,Uruguay
Dragons,4,Wales
Scarlets,11,Wales
Cardiff Blues,5,Wales
Ospreys,7,Wales
Hurricanes / Hawke's Bay,1,New Zealand
Blues / North Harbour,1,New Zealand
Highlanders / Auckland,1,New Zealand
Hurricanes / Manawatu,1,New Zealand
Highlanders / Taranaki,1,New Zealand
Clermont,7,France
Racing,7,France
Castres,2,France