year,player,country,caps,,,
1987,Paulo Nawalu,Fiji,17,,,
2007,Bratley Langenhoven,Namibia,1,,,
2007,Deon Mouton,Namibia,22,,,
2007,Domingo Kamonga,Namibia,6,,,
2007,Du Preez Grobler,Namibia,23,,,
2007,Emile Wessels,Namibia,11,,,
2007,Eugene Jantjies,Namibia,9,,,
2007,Heini Bock,Namibia,11,,,
2007,Heino Senekal,Namibia,24,,,
2007,Herman Lintvelt,Namibia,31,,,
2007,Hugo Horn,Namibia,20,,,
2007,Jacques Burger,Namibia,12,,,
2007,Jacques Nieuwenhuis,Namibia,5,,,
2007,Jané du Toit,Namibia,5,,,
2007,Johannes Meyer,Namibia,12,,,
2007,John Drotsky,Namibia,1,,,
2007,Johnny Redelinghuys,Namibia,8,,,
2007,Jurie van Tonder,Namibia,8,,,
2007,Kees Lensing (c),Namibia,15,,,
2007,Lu-Wayne Botes,Namibia,8,,,
2007,Marius Visser,Namibia,5,,,
2007,Melrick Africa,Namibia,19,,,
2007,Michael MacKenzie,Namibia,5,,,
2007,Morné Schreuder,Namibia,17,,,
2007,Nico Esterhuyse,Namibia,8,,,
2007,Piet van Zyl,Namibia,1,,,
2007,Ryan Witbooi,Namibia,10,,,
2007,Skipper Badenhorst,Namibia,2,,,
2007,Tertius Losper,Namibia,5,,,
2007,Tinus du Plessis,Namibia,8,,,
2007,Uakazuwaka Kazombiaze,Namibia,9,,,
2007,Allan Jacobsen,Scotland,23,,,
2007,Allister Hogg,Scotland,35,,,
2007,Andrew Henderson,Scotland,46,,,
2007,Chris Cusiter,Scotland,32,,,
2007,Chris Paterson,Scotland,76,,,
2007,Craig Smith,Scotland,19,,,
2007,Dan Parks,Scotland,32,,,
2007,David Callam,Scotland,9,,,
2007,Euan Murray,Scotland,11,,,
2007,Fergus Thomson,Scotland,2,,,
2007,Gavin Kerr,Scotland,42,,,
2007,Hugo Southwell,Scotland,31,,,
2007,James Hamilton,Scotland,9,,,
2007,Jason White (c),Scotland,59,,,
2007,John Barclay,Scotland,0,,,
2007,Kelly Brown,Scotland,14,,,
2007,Marcus di Rollo,Scotland,19,,,
2007,Mike Blair,Scotland,39,,,
2007,Nathan Hines,Scotland,44,,,
2007,Nikki Walker,Scotland,8,,,
2007,Rob Dewey,Scotland,8,,,
2007,Rory Lamont,Scotland,10,,,
2007,Rory Lawson,Scotland,7,,,
2007,Ross Ford,Scotland,12,,,
2007,Scott Lawson,Scotland,11,,,
2007,Scott MacLeod,Scotland,9,,,
2007,Scott Murray,Scotland,85,,,
2007,Sean Lamont,Scotland,31,,,
2007,Simon Taylor,Scotland,54,,,
2007,Simon Webster,Scotland,24,,,